id,exchange,ts_code,symbol,freq,trade_time,open,close,high,low,vol,is_contract
1962,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:39:00,0.294108,0.293456,0.294186,0.292886,1789.0,Y
1963,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:39:00,0.294252,0.2935,0.294258,0.293,1383407.687052,N
1964,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:38:00,0.294318,0.294218,0.29462,0.293357,2069.0,Y
1965,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:38:00,0.294296,0.294198,0.294663,0.293426,3007766.614916,N
1966,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:37:00,0.295005,0.294288,0.29585,0.294192,1911.0,Y
1967,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:37:00,0.295086,0.294364,0.29588,0.294285,1308568.101493,N
1968,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:36:00,0.294498,0.295086,0.295897,0.294494,1474928.157321,N
1969,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:36:00,0.294535,0.294999,0.295637,0.294374,1783.0,Y
1970,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:35:00,0.296373,0.294534,0.296521,0.294314,2360.0,Y
1971,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:35:00,0.296246,0.294439,0.296505,0.294343,2034871.704372,N
1972,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:34:00,0.29555,0.296336,0.296787,0.295413,2980.0,Y
1973,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:34:00,0.295466,0.296381,0.296776,0.295266,1470058.566757,N
1974,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:33:00,0.294998,0.295465,0.295465,0.294414,2062473.488064,N
1975,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:33:00,0.295178,0.295548,0.29555,0.294579,2506.0,Y
1976,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:32:00,0.292775,0.295151,0.295236,0.292351,2089171.659637,N
1977,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:32:00,0.292751,0.295285,0.295357,0.292421,5686.0,Y
1978,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:31:00,0.293743,0.292779,0.293781,0.2925,5552.0,Y
1979,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:31:00,0.293561,0.29277,0.293594,0.292309,1905562.116676,N
1980,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:30:00,0.294116,0.293677,0.295121,0.293125,3951.0,Y
1981,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:30:00,0.293866,0.293535,0.294844,0.292933,2481027.942699,N
1982,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:29:00,0.292477,0.294088,0.294615,0.292421,3319.0,Y
1983,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:29:00,0.292025,0.293865,0.294322,0.291946,2487807.910089,N
1984,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:28:00,0.290648,0.291919,0.292857,0.290334,2367747.483447,N
1985,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:28:00,0.290828,0.292531,0.29325,0.290519,3487.0,Y
1986,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:27:00,0.292612,0.290772,0.292657,0.290604,3802225.759119,N
1987,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:27:00,0.292864,0.290885,0.292902,0.290877,4082.0,Y
1988,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:26:00,0.292192,0.292853,0.293668,0.291908,4009.0,Y
1989,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:26:00,0.292,0.292543,0.2931,0.291507,2993910.390489,N
1990,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:25:00,0.290644,0.29187,0.29202,0.289539,3957663.546938,N
1991,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:25:00,0.291077,0.292205,0.292419,0.289825,3776.0,Y
1992,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:24:00,0.289221,0.291009,0.2916,0.288116,6923.0,Y
1993,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:24:00,0.289319,0.290864,0.291308,0.287592,5225312.909215,N
1994,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:23:00,0.29041,0.28909,0.290937,0.288571,4492326.382255,N
1995,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:23:00,0.290591,0.289106,0.291,0.288774,5949.0,Y
1996,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:22:00,0.287683,0.290592,0.290826,0.287563,6544.0,Y
1997,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:22:00,0.287556,0.290576,0.290577,0.28707,5081977.41029,N
1998,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:21:00,0.290174,0.287556,0.29197,0.286778,8387984.428295,N
1999,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:21:00,0.290209,0.287625,0.292156,0.286628,11108.0,Y
2000,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:20:00,0.293755,0.290208,0.29393,0.29,9072.0,Y
2001,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:20:00,0.29359,0.290213,0.293704,0.289789,6694752.2487,N
2002,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:19:00,0.294505,0.293568,0.295881,0.293469,2596808.959966,N
2003,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:19:00,0.294564,0.293755,0.295977,0.293755,3054.0,Y
2004,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:18:00,0.295001,0.294564,0.295797,0.294325,2947.0,Y
2005,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:18:00,0.295,0.294422,0.295866,0.294211,3385495.132048,N
2006,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:17:00,0.297207,0.294838,0.297221,0.294782,4083944.280296,N
2007,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:17:00,0.297229,0.295,0.297254,0.294868,3655.0,Y
2008,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:16:00,0.298405,0.297091,0.2992,0.297079,2529747.327715,N
2009,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:16:00,0.298481,0.297177,0.299236,0.297177,5800.0,Y
2010,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:15:00,0.296348,0.298382,0.298535,0.295952,3929.0,Y
2011,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:15:00,0.296295,0.2984,0.29842,0.295739,1842846.016811,N
2012,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:14:00,0.295558,0.296207,0.296728,0.294855,2504171.949028,N
2013,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:14:00,0.295534,0.296391,0.296753,0.294719,2324.0,Y
2014,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:13:00,0.296651,0.295601,0.297345,0.295563,2226.0,Y
2015,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:13:00,0.296664,0.29559,0.297467,0.29551,2372723.484586,N
2016,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:12:00,0.295061,0.296632,0.297498,0.295061,3813.0,Y
2017,okex,DOGE_USDT,DOGE-USDT,1min,2021-04-22 02:12:00,0.295103,0.296609,0.297445,0.294905,5021048.946725,N
2018,okex,DOGE_USDT,DOGE-USDT-SWAP,1min,2021-04-22 02:11:00,0.29311,0.295047,0.295344,0.293002,4363.0,Y
